candle_begin_time_GMT8,open,high,low,close,volume,quote_volume,num,initiative_vol,initiative_quote_vol
2021-11-18 03:20:00,4244.79,4245.28,4234.98,4236.72,893.1387,3786647.410137,2157.0,457.225,1938538.46171
2021-11-18 03:25:00,4236.72,4250.0,4234.68,4250.0,1075.5746,4564906.030533,2210.0,603.9638,2563374.574015
2021-11-18 03:30:00,4249.99,4251.66,4239.08,4242.2,738.0274,3132884.940429,1887.0,371.0606,1575302.134777
2021-11-18 03:35:00,4242.19,4254.99,4242.18,4248.54,937.8682,3986135.273094,1811.0,318.8328,1355056.00619
2021-11-18 03:40:00,4248.55,4250.59,4232.67,4238.86,1123.4113,4764331.115336,2522.0,399.8071,1695216.853318
2021-11-18 03:45:00,4238.85,4245.63,4219.97,4226.28,1845.3958,7805638.50904,3462.0,748.9009,3166995.493972
2021-11-18 03:50:00,4226.28,4238.32,4224.0,4238.31,926.8913,3921034.884804,1955.0,565.8514,2393366.030016
2021-11-18 03:55:00,4238.32,4242.53,4235.45,4242.52,680.284,2884165.32236,1755.0,332.806,1410897.840572
2021-11-18 04:00:00,4242.53,4252.29,4222.82,4235.46,3390.9069,14361898.784505,5591.0,1717.2465,7270130.594533
2021-11-18 04:05:00,4235.46,4237.27,4223.95,4235.82,1275.0911,5394938.880121,3211.0,684.5993,2896601.670081
2021-11-18 04:10:00,4235.81,4239.75,4227.44,4229.45,935.7042,3962006.609287,2307.0,352.6447,1493213.623742
2021-11-18 04:15:00,4229.44,4230.69,4213.79,4215.15,1264.8703,5339999.901911,3083.0,615.7193,2599141.467566
2021-11-18 04:20:00,4215.14,4226.36,4213.87,4225.27,771.0376,3253565.264994,2143.0,439.1838,1853198.056196
2021-11-18 04:25:00,4225.28,4231.69,4224.15,4226.83,597.1678,2524659.65956,1900.0,263.5624,1114255.911787
2021-11-18 04:30:00,4226.49,4235.73,4212.82,4234.51,1426.1091,6020429.600393,2787.0,476.5764,2013360.85167
2021-11-18 04:35:00,4234.5,4265.99,4234.11,4254.16,1857.1387,7894417.204738,4159.0,1034.8764,4397547.625838
2021-11-18 04:40:00,4254.16,4264.22,4250.0,4262.17,794.1161,3379948.706851,2185.0,432.7776,1842021.718418
2021-11-18 04:45:00,4262.17,4263.29,4245.1,4245.1,755.013,3210497.563358,2133.0,326.1268,1386767.32635
2021-11-18 04:50:00,4245.37,4265.0,4244.4,4261.01,976.2835,4155316.654019,2488.0,562.199,2392878.20841
2021-11-18 04:55:00,4261.0,4262.35,4250.98,4257.43,954.061,4061334.773843,2085.0,468.7817,1995628.025728
2021-11-18 05:00:00,4257.37,4259.92,4243.7,4244.3,1178.6826,5012894.085043,3060.0,380.2431,1616957.856508
2021-11-18 05:05:00,4244.3,4245.01,4231.29,4233.78,1068.433,4528469.280308,3504.0,481.7028,2041630.589721
2021-11-18 05:10:00,4233.79,4245.97,4233.79,4242.01,841.6945,3570263.830437,2741.0,367.9785,1560584.530554
2021-11-18 05:15:00,4242.15,4248.96,4226.06,4229.32,1225.2916,5189414.820935,3587.0,490.6331,2079189.534823
2021-11-18 05:20:00,4229.31,4236.6,4226.64,4227.33,882.0869,3732278.205207,2531.0,285.9508,1210304.13031
2021-11-18 05:25:00,4227.32,4229.47,4200.0,4216.03,3229.3817,13618655.587672,5990.0,1184.1382,4995990.418775
2021-11-18 05:30:00,4216.52,4231.19,4216.05,4225.68,935.597,3953398.686178,2816.0,601.6757,2542439.509647
2021-11-18 05:35:00,4225.71,4229.95,4222.03,4223.42,563.5294,2380917.428466,2332.0,358.853,1516023.661817
2021-11-18 05:40:00,4223.42,4232.47,4223.03,4231.55,319.5981,1351203.421644,2061.0,161.0371,680773.883676
2021-11-18 05:45:00,4231.57,4241.56,4231.55,4235.89,976.977,4140135.101879,2809.0,334.2551,1416438.915664
2021-11-18 05:50:00,4235.89,4239.73,4231.56,4235.18,379.7948,1609102.498352,1973.0,181.297,768010.220688
2021-11-18 05:55:00,4235.17,4254.96,4233.48,4254.44,885.6501,3759791.256981,2795.0,508.9871,2161147.065359
2021-11-18 06:00:00,4254.76,4261.74,4252.95,4259.95,885.1551,3768442.182001,2566.0,358.5138,1526608.775802
2021-11-18 06:05:00,4259.95,4260.76,4245.0,4248.9,694.8769,2954886.066099,1601.0,284.6767,1210152.156423
