open,high,low,close,volume,quote_volume,num,initiative_vol,initiative_quote_vol
4295.72,4320.0,4288.89,4309.41,5382.8993,23174355.069426,17701.0,2964.9615999999996,12766099.580296
4309.41,4319.05,4301.42,4316.17,3410.3901,14696206.294271998,9340.0,1796.3125,7741105.841473999
4316.48,4331.23,4308.32,4330.93,6171.7686,26666497.450438,13342.0,2672.7436,11550034.283941
4330.93,4333.36,4310.87,4318.3,4152.7080000000005,17949687.605246,9868.0,1801.0359,7784886.197257001
4318.18,4319.43,4288.3,4301.21,5096.2324,21919546.788467,8907.0,2096.0221,9013065.116946
4301.21,4337.0,4298.95,4334.58,5681.0417,24551827.110201,13680.0,2842.853,12284994.937075999
4334.58,4334.58,4303.54,4315.73,5116.3948,22094061.797305003,9142.0,2035.3255,8791470.634101
4315.98,4325.41,4308.19,4312.75,3881.2305,16752792.956757002,10451.0,1998.7385,8627234.381158
4312.75,4319.62,4297.58,4309.82,5273.7132,22713288.303778,11267.0,2762.0634999999997,11893805.89011
4309.81,4330.0,4302.95,4329.3,4853.4986,20930694.569704,10651.0,3114.2271,13429906.931541
4329.3,4340.33,4309.7,4338.4,3987.6139000000003,17252173.694829,10851.0,2053.0177,8883347.162111
4338.4,4344.81,4319.2,4319.73,5087.2466,22032699.516017,10834.0,2659.0688,11515452.945821
4319.74,4324.21,4299.78,4306.15,4862.6425,20964448.017846003,8434.0,2027.7378999999999,8746926.810781
4306.14,4313.84,4296.2,4303.64,3172.9707,13656954.256821997,6580.0,1739.5566000000001,7488116.281749
4303.64,4304.29,4278.38,4278.94,5363.9012999999995,23006769.957236998,9784.0,2531.8873999999996,10857745.677857
4278.94,4292.44,4274.01,4284.88,4102.8433,17573939.375693,9213.0,2403.6196,10295914.255158
4284.88,4290.15,4277.67,4284.44,3015.3742,12920485.857057001,6897.0,1534.2314000000001,6574590.01578
4284.44,4299.51,4256.1,4262.0,6290.9373,26869988.984777,17738.0,2879.5183,12303433.83155
4262.04,4276.29,4252.49,4266.74,4749.9592,20259822.68972,10103.0,1987.7069000000001,8479789.524115
