candle_begin_time_GMT8,open,high,low,close,volume,quote_volume,num,initiative_vol,initiative_quote_vol
2021-11-18 10:55:00,60279.99,60327.29,59850.0,59856.98,1101.94548,66212465.00003771,36349.0,533.8090599999998,32077763.426753003
2021-11-18 11:55:00,59855.85,60096.12,59631.74,59833.23,2333.2404,139629632.9422328,87814.0,1143.1242499999996,68418171.44213529
2021-11-18 12:55:00,59833.22,59906.85,59550.15,59759.99,1415.81699,84559043.14459129,69731.0,681.45069,40702300.26289081
2021-11-18 13:55:00,59760.0,60035.46,59590.01,59644.96,1292.29759,77233515.74184449,55755.0,655.55979,39180169.5836751
2021-11-18 14:55:00,59644.95,59886.33,59500.0,59701.75,1688.9617999999994,100788070.6478473,55599.0,825.0219400000002,49234525.86686041
2021-11-18 15:55:00,59704.6,59840.89,59470.0,59509.99,1108.60606,66103467.79032491,44424.0,525.9273000000002,31363865.279887896
2021-11-18 16:55:00,59509.99,59742.73,59050.0,59085.53,1839.5010600000005,109074931.1948126,65726.0,872.9555000000001,51766062.0900201
2021-11-18 17:55:00,59088.18,59699.73,58962.77,59699.73,2398.791280000001,142337569.5958735,71682.0,1277.6882500000004,75842731.94733858
2021-11-18 18:55:00,59699.72,59970.82,59394.11,59422.51,1545.58493,92252907.1945262,55656.0,795.8965499999997,47504623.6503456
2021-11-18 19:55:00,59422.5,59935.0,59001.0,59021.99,2903.86544,172327276.09807068,82554.0,1340.7093699999998,79608552.32879071
2021-11-18 20:55:00,59021.99,59764.59,58740.63,59173.12,3440.8064900000004,203654064.88911653,91878.0,1643.2305499999998,97301610.1944508
2021-11-18 21:55:00,59173.11,59292.96,58788.14,58853.93,1916.65068,113051498.3750282,65970.0,948.24821,55929720.194152296
2021-11-18 22:55:00,58859.97,59486.0,57650.0,58111.38,7969.339540000001,466440769.9873456,219089.0,3603.7317,211116470.2748997
2021-11-18 23:55:00,58111.4,58486.09,57215.38,57683.01,6301.78764,364021112.88751125,170453.0,2973.52345,171804238.12748402
2021-11-19 00:55:00,57683.0,58077.7,56592.06,57678.94,6626.598979999999,379975621.23258865,182714.0,3105.8480600000007,178186118.0649042
